winner,loser,winnerscore,loserscore,date,bo3
Eternal Fire,ESC,2,0,1651960800.0,True
Eternal Fire,OG,2,0,1650456000.0,True
Eternal Fire,fnatic,2,1,1650384900.0,True
Vitality,Eternal Fire,16,11,1650294000.0,False
Eternal Fire,Dignitas,22,20,1650221700.0,False
FaZe,Eternal Fire,16,4,1650208200.0,False
Apeks,Eternal Fire,16,9,1649970000.0,False
Eternal Fire,SKADE,16,2,1649900700.0,False
Copenhagen Flames,Eternal Fire,16,12,1649797200.0,False
SKADE,Eternal Fire,2,1,1647804000.0,True
Eternal Fire,ONYX,19,16,1647659100.0,False
SINNERS,Eternal Fire,28,25,1647650400.0,False
Eternal Fire,ONYX,16,13,1647642600.0,False
Apeks,Eternal Fire,2,1,1647298500.0,True
Eternal Fire,Sahangiller,3,0,1647205200.0,False
Eternal Fire,RWC,2,0,1647122400.0,True
Vitality,MOUZ,2,1,1650456000.0,True
Natus Vincere,Vitality,2,0,1650388500.0,True
FaZe,Vitality,16,14,1650221700.0,False
Vitality,Dignitas,16,6,1650211500.0,False
SKADE,Vitality,2,0,1648495200.0,True
Vitality,Outsiders,2,0,1647820800.0,True
FaZe,Vitality,2,0,1647737100.0,True
FURIA,Vitality,2,1,1647621000.0,True
ENCE,Vitality,2,0,1647534600.0,True
Vitality,Sprout,2,0,1647448200.0,True
Gambit,Vitality,2,0,1645317000.0,True
Heroic,Vitality,2,0,1645218000.0,True
Vitality,MOUZ,2,1,1645133700.0,True
Vitality,G2,2,1,1644084900.0,True
Vitality,MIBR,2,0,1643997600.0,True
Natus Vincere,forZe,2,0,1650470400.0,True
forZe,SAW,2,1,1650376800.0,True
forZe,OG,19,17,1650290400.0,False
forZe,GamerLegion,16,14,1650231300.0,False
Heroic,forZe,16,9,1650207000.0,False
FAMBIT,forZe,2,1,1648684800.0,True
forZe,ONYX,2,1,1648670400.0,True
forZe,Anonymo,2,1,1648510200.0,True
forZe,Nexus,2,0,1648332300.0,True
MASONIC,forZe,2,0,1648249200.0,True
forZe,los kogutos,2,1,1647995700.0,True
HEET,forZe,2,0,1647281700.0,True
forZe,1shot,2,0,1646451600.0,True
forZe,WinX,16,14,1646445900.0,False
Sprout,forZe,2,1,1646432100.0,True
forZe,MASONIC,16,2,1646427900.0,False
Outsiders,SAW,2,1,1650469800.0,True
Outsiders,Dignitas,2,1,1650399900.0,True
MOUZ,Outsiders,16,12,1650297000.0,False
BIG,Outsiders,16,8,1650233700.0,False
Outsiders,Unique,16,2,1650204000.0,False
Outsiders,Sprout,2,1,1647722700.0,True
ENCE,Outsiders,2,0,1647635400.0,True
Outsiders,FaZe,2,0,1647559800.0,True
FURIA,Outsiders,2,1,1647474900.0,True
NIP,Bad News Eagles,2,1,1651184400.0,True
Bad News Eagles,SINNERS,2,1,1650801600.0,True
Bad News Eagles,ASG,2,0,1650729900.0,True
G2,Bad News Eagles,16,10,1650636000.0,False
NIP,Bad News Eagles,16,11,1650573000.0,False
Bad News Eagles,Entropiq,19,17,1650549600.0,False
Bad News Eagles,SKADE,2,1,1647819600.0,True
Bad News Eagles,SINNERS,2,0,1647795600.0,True
Bad News Eagles,Nexus,16,14,1647742200.0,False
Bad News Eagles,BLUEJAYS,16,4,1647733500.0,False
SKADE,Bad News Eagles,19,16,1647723600.0,False
Bad News Eagles,FATE,2,1,1647386100.0,True
Bad News Eagles,Endpoint,16,5,1646279400.0,False
SINNERS,Bad News Eagles,16,12,1646271000.0,False
Bad News Eagles,4glory,2,1,1646259900.0,True
Bad News Eagles,VOID,16,4,1646256300.0,False
Spirit,Finest,2,1,1651617900.0,True
Spirit,K23,2,0,1651434600.0,True
Spirit,BLUEJAYS,2,0,1651183800.0,True
Spirit,Anonymo,2,1,1650801600.0,True
Spirit,Endpoint,2,0,1650737700.0,True
SINNERS,Spirit,16,6,1650640500.0,False
Spirit,ASG,16,6,1650580800.0,False
ENCE,Spirit,16,11,1650563100.0,False
SINNERS,Spirit,16,14,1646279700.0,False
Spirit,Endpoint,16,13,1646275200.0,False
Spirit,Strive in chaos,2,1,1646260800.0,True
Spirit,SKADE,16,13,1646256600.0,False
OG,Spirit,2,1,1645655100.0,True
Spirit,Movistar Riders,16,5,1645650000.0,False
Spirit,1shot,2,0,1645131600.0,True
Spirit,SINNERS,2,0,1645047600.0,True
G2,Astralis,2,1,1650740100.0,True
G2,Sangal,16,10,1650568800.0,False
Anonymo,G2,19,16,1650549600.0,False
G2,NIP,2,0,1647214200.0,True
Entropiq,G2,2,1,1647133500.0,True
fnatic,G2,2,1,1647045000.0,True
MOUZ,G2,2,0,1646933400.0,True
G2,Looking For Org,2,0,1646847000.0,True
FaZe,G2,3,0,1645999200.0,False
G2,Natus Vincere,2,0,1645907400.0,True
G2,Virtus.pro,2,0,1645821000.0,True
G2,Astralis,2,1,1645403400.0,True
G2,FURIA,2,1,1645378200.0,True
G2,Liquid,2,0,1645291800.0,True
fnatic,G2,2,1,1645205400.0,True
ENCE,Astralis,2,1,1651444200.0,True
ENCE,Heroic,2,1,1651260600.0,True
ENCE,Copenhagen Flames,2,1,1651087800.0,True
NIP,ENCE,2,1,1650815700.0,True
ENCE,Anonymo,2,0,1650722400.0,True
ENCE,HEET,16,8,1650639900.0,False
Astralis,ENCE,16,11,1650582000.0,False
FaZe,ENCE,3,1,1649620800.0,False
ENCE,NIP,2,0,1649529000.0,True
ENCE,Movistar Riders,2,1,1649356200.0,True
ENCE,fnatic,2,0,1649183400.0,True
Copenhagen Flames,ENCE,2,0,1648486800.0,True
ENCE,Apeks,2,0,1648420200.0,True
ENCE,UNGENTIUM,2,0,1648407600.0,True
ENCE,fnatic,16,12,1648337700.0,False
Astralis,NIP,2,0,1651347000.0,True
Astralis,Movistar Riders,2,0,1651174200.0,True
Astralis,HEET,2,1,1650814200.0,True
Players,Astralis,2,1,1650643800.0,True
Astralis,ASG,16,5,1650559500.0,False
FURIA,Astralis,2,1,1649442600.0,True
Astralis,Entropiq,2,1,1649269800.0,True
Astralis,Complexity,2,1,1649025000.0,True
Natus Vincere,Astralis,2,1,1648940100.0,True
Astralis,AGO,2,0,1648827000.0,True
Heroic,Astralis,2,1,1648753800.0,True
Astralis,Evil Geniuses,2,0,1648679400.0,True
Imperial,MIBR,2,1,1650855600.0,True
Imperial,9z,2,0,1650839400.0,True
Imperial,Cruzeiro,2,0,1650770700.0,True
9z,Imperial,2,1,1650753000.0,True
Imperial,Party Astronauts,2,1,1649858400.0,True
MIBR,Imperial,2,1,1649781000.0,True
Imperial,Case,16,6,1649713500.0,False
Imperial,Sao Caetano,16,12,1649691600.0,False
Imperial,Falcons,2,0,1648400400.0,True
Imperial,MASONIC,2,1,1648317600.0,True
SAW,Imperial,16,10,1648249200.0,False
Imperial,MOUZ NXT,16,4,1648240200.0,False
Imperial,OFFSET,16,4,1648231200.0,False
