name,winstreak,win%last3months,worldranking,weekstop30,averageplayerage,hltv,ilyasrating,seed
Eternal Fire,3,58.8,29,17,23.2,77,44,9
Vitality,1,42.9,11,111,24.7,286,50,5
forZe,0,69.2,26,55,21.9,84,45,3
Outsiders,2,50,10,211,22.7,318,50,11
Bad News Eagles,0,72.2,28,13,24.6,79,40,8
Spirit,5,68.2,25,48,20.7,87,45,10
G2,3,62.5,6,64,24.7,427,78,2
ENCE,3,68.6,4,59,24.8,540,88,1
Astralis,0,61.9,9,26,25.3,347,70,4
Imperial,3,72.7,32,99,28.4,65,35,7
Complexity,0,59.1,22,24,21.7,95,60,12
Liquid,0,61.9,13,135,25.8,230,65,15
MIBR,0,78.8,23,7,24.9,92,48,6
9z,0,66.7,30,5,22.1,77,30,16
IHC,2,72.7,52,0,21.8,31,35,13
Renegades,4,77.8,51,33,24.8,31,30,14
Heroic,0,77.8,5,107,23.2,474,85,1
BIG,0,62.5,14,119,24.2,214,55,3
FaZe,1,81,1,62,25.2,883,90,6
Natus Vincere,2,80,2,153,22.7,807,92,8
Cloud9,0,None,3,95,22.3,544,70,4
Copenhagen Flames,0,70.7,15,39,22.8,196,45,2
NIP,0,66.7,7,102,22.8,417,73,7
FURIA,0,71.4,8,171,23.4,404,60,5
