name,hltv,weekstop30,averageplayerage,win%last3months,ilyasrating,seed
Eternal Fire,77,17,23.3,60,44,9
Vitality,286,111,24.7,47,50,5
forZe,84,55,21.9,60,45,3
Outsiders,318,211,22.7,48,50,11
Bad News Eagles,79,13,24.6,67,40,8
Spirit,87,48,20.7,65,45,10
G2,427,64,24.7,61,78,2
ENCE,540,59,24.8,58,88,1
Astralis,347,26,25.3,59,70,4
Imperial,65,99,28.4,69,35,7
Complexity,95,24,21.7,45,60,12
Liquid,230,135,25.8,58,65,15
MIBR,92,7,24.9,59,48,6
9z,77,5,22.1,66,30,16
IHC,31,0,21.8,71,35,13
Renegades,31,33,24.8,71,30,14
