winner,loser,winnerscore,loserscore,date,bo3
Liquid,Astralis,2,0,1652367600.0,True
Liquid,Complexity,2,0,1652296200.0,True
Liquid,9z,2,0,1652214000.0,True
Imperial,Liquid,16,10,1652136000.0,False
G2,Liquid,16,6,1652112000.0,False
paiN,Liquid,2,1,1651284000.0,True
Liquid,Complexity,2,0,1650843000.0,True
Liquid,Evil Geniuses,2,1,1650688200.0,True
Liquid,Gaimin Gladiators,2,0,1650663000.0,True
Liquid,Evil Geniuses,2,0,1649879400.0,True
Liquid,paiN,16,1,1649777100.0,False
Liquid,TeamOne,16,3,1649719500.0,False
00NATION,Liquid,16,8,1649702100.0,False
NIP,Liquid,2,1,1649368800.0,True
Liquid,Heroic,2,0,1649286900.0,True
Players,Liquid,2,0,1648420200.0,True
Outsiders,Complexity,16,9,1652199600.0,False
Complexity,IHC,16,13,1652131800.0,False
Vitality,Complexity,16,1,1652108400.0,False
MIBR,Complexity,2,0,1651273200.0,True
Complexity,GODSENT,2,1,1650859200.0,True
Complexity,GODSENT,2,1,1650756600.0,True
Complexity,Carpe Diem,2,0,1650675600.0,True
Complexity,Sao Caetano,2,0,1649872800.0,True
FURIA,Complexity,2,0,1649794800.0,True
Complexity,00NATION,16,5,1649718600.0,False
Complexity,TeamOne,16,8,1649697600.0,False
Astralis,Complexity,2,1,1649025000.0,True
Complexity,Evil Geniuses,2,1,1648926000.0,True
Natus Vincere,Complexity,2,0,1648852200.0,True
GODSENT,Evil Geniuses,2,0,1651109400.0,True
GODSENT,Evil Geniuses,2,0,1650843000.0,True
Evil Geniuses,Carpe Diem,2,1,1650772800.0,True
Evil Geniuses,Party Astronauts,2,0,1650663000.0,True
9z,Evil Geniuses,2,1,1650031200.0,True
Evil Geniuses,Party Astronauts,2,1,1649961300.0,True
Evil Geniuses,00NATION,16,9,1649772000.0,False
Evil Geniuses,9z,16,5,1649723100.0,False
paiN,Evil Geniuses,16,12,1649696100.0,False
AGO,Evil Geniuses,2,0,1649025000.0,True
Heroic,Evil Geniuses,2,0,1648839600.0,True
Natus Vincere,Evil Geniuses,2,0,1648771200.0,True
Astralis,Evil Geniuses,2,0,1648679400.0,True
Party Astronauts,Happy Mouse,2,0,1652074200.0,True
Party Astronauts,BHOP,2,1,1652058000.0,True
Party Astronauts,ducksquad,16,3,1651983000.0,False
Party Astronauts,ATK,2,0,1651468200.0,True
Gaimin Gladiators,Party Astronauts,2,0,1651453200.0,True
Party Astronauts,Tempest,16,13,1651380600.0,False
GODSENT,Party Astronauts,2,0,1650772800.0,True
Party Astronauts,Gaimin Gladiators,2,0,1650688200.0,True
Party Astronauts,Imperial,2,1,1650343200.0,True
Party Astronauts,ONET4P,16,4,1650337200.0,False
Imperial,Party Astronauts,2,1,1649858400.0,True
Party Astronauts,Case,16,6,1649776800.0,False
Party Astronauts,Leviatan,16,11,1649710200.0,False
Isurus,Party Astronauts,16,8,1649687400.0,False
Carpe Diem,BHOP,2,0,1652331600.0,True
Carpe Diem,Mythic,2,0,1652245200.0,True
Happy Mouse,Carpe Diem,2,1,1652058000.0,True
Carpe Diem,ex-UYU,16,4,1651983300.0,False
Gaimin Gladiators,Carpe Diem,2,1,1651468200.0,True
Carpe Diem,ATK,2,1,1651453200.0,True
Carpe Diem,Third Impact,16,14,1651379400.0,False
Carpe Diem,ATK,2,1,1650756600.0,True
Carpe Diem,ATK,2,0,1650343200.0,True
Carpe Diem,Third Impact,16,5,1650337200.0,False
MIBR,Carpe Diem,3,1,1649048400.0,False
Carpe Diem,paiN,2,0,1648962000.0,True
Carpe Diem,Strife,2,0,1648875600.0,True
Carpe Diem,ATK,2,0,1648789200.0,True
ATK,Gaimin Gladiators,2,1,1652245200.0,True
Gaimin Gladiators,Unjustified,2,0,1651036200.0,True
Gaimin Gladiators,TeamOne,16,8,1651379400.0,False
Gaimin Gladiators,paiN,2,0,1650514800.0,True
Gaimin Gladiators,Tempest,16,7,1650510000.0,False
Gaimin Gladiators,Valors,16,4,1650434400.0,False
Gaimin Gladiators,ATK,2,1,1649650500.0,True
Gaimin Gladiators,Rectify,2,0,1649638800.0,True
ATK,Gaimin Gladiators,2,0,1649207700.0,True
Gaimin Gladiators,Strife,16,9,1649197800.0,False
paiN,Gaimin Gladiators,16,12,1649122800.0,False
Gaimin Gladiators,Strife,16,8,1649118900.0,False
ECLOT,Bad News Bears,2,0,1651496400.0,True
Wisla Krakow,Bad News Bears,2,0,1651334400.0,True
GamerLegion,Bad News Bears,2,0,1651275900.0,True
BLUEJAYS,Bad News Bears,2,1,1650924000.0,True
AVANGAR,Bad News Bears,2,0,1650834600.0,True
Bad News Bears,BLUEJAYS,2,1,1650819600.0,True
9z,Bad News Bears,2,0,1649780400.0,True
Sao Caetano,Bad News Bears,16,12,1649714700.0,False
Case,Bad News Bears,16,10,1649691000.0,False
Bad News Bears,Philadelphia Liberty,2,0,1649221200.0,True
Bad News Bears,Limitless,2,0,1649134800.0,True
Orgless,Bad News Bears,16,14,1648360800.0,False
Carpe Diem,Bad News Bears,2,1,1648011600.0,True
Bad News Bears,TeamOne,19,16,1647078600.0,False
Complexity,Bad News Bears,16,4,1647067500.0,False
Bad News Bears,Mythic,2,0,1647058500.0,True
BHOP,Mythic,2,0,1651640400.0,True
BHOP,Northern Forces,16,11,1651983600.0,False
ATK,BHOP,16,3,1651378500.0,False
BHOP,UYU,2,0,1649307600.0,True
BHOP,Limitless,2,0,1649221200.0,True
Philadelphia Liberty,BHOP,2,1,1649134800.0,True
BHOP,X13,2,0,1647666000.0,True
TeamOne,BHOP,2,0,1647493200.0,True
MIBR,BHOP,2,0,1646895600.0,True
TeamOne,Unjustified,2,0,1652331600.0,True
GODSENT,Unjustified,2,0,1651726800.0,True
paiN,Unjustified,2,1,1651122000.0,True
paiN,Unjustified,16,1,1650510000.0,False
Unjustified,Take Flyte,16,6,1650435600.0,False
ATK,Unjustified,16,4,1650337200.0,False
Unjustified,Philadelphia Liberty,2,0,1649307600.0,True
Unjustified,Eros,2,1,1649221200.0,True
Third Impact,Unjustified,2,0,1649138400.0,True
Mythic,Unjustified,3,0,1649048400.0,False
Unjustified,Philadelphia Liberty,2,1,1648967400.0,True
Unjustified,Limitless,2,1,1648875600.0,True
Unjustified,Kinship,2,1,1648794600.0,True
Unjustified,Big Chillin,2,1,1648706400.0,True
Unjustified,Infinity,2,1,1648447800.0,True
UYU,Mythic,16,12,1650435000.0,False
Mythic,Philadelphia Liberty,2,0,1648879200.0,True
Mythic,UYU,2,1,1648620900.0,True
Mythic,Levitate,2,0,1648184400.0,True
Mythic,StrikeX,16,2,1647054300.0,False
Synthetic,Mythic,2,1,1634533200.0,True
Detonate,Mythic,2,1,1634446800.0,True
Party Astronauts,Mythic,2,0,1632978000.0,True
Mythic,Strife,2,1,1632892800.0,True
ChocoCheck,Mythic,2,1,1632463200.0,True
ONET4P,Mythic,2,0,1632377700.0,True
TeamOne,Mythic,2,0,1632456000.0,True
Imperial,forZe,2,0,1652391300.0,True
Imperial,IHC,2,1,1652281200.0,True
Bad News Eagles,Imperial,16,12,1652194800.0,False
Spirit,Imperial,16,6,1652118600.0,False
Imperial,MIBR,2,1,1650855600.0,True
Imperial,9z,2,0,1650839400.0,True
Imperial,Cruzeiro,2,0,1650770700.0,True
9z,Imperial,2,1,1650753000.0,True
MIBR,Imperial,2,1,1649781000.0,True
Imperial,Case,16,6,1649713500.0,False
Imperial,Sao Caetano,16,12,1649691600.0,False
Imperial,Falcons,2,0,1648400400.0,True
Imperial,MASONIC,2,1,1648317600.0,True
SAW,Imperial,16,10,1648249200.0,False
ATK,UYU,16,12,1650510000.0,False
UYU,ex-Philadelphia Liberty,2,0,1650002400.0,True
Third Impact,UYU,2,0,1649221200.0,True
UYU,Eros,2,0,1649134800.0,True
UYU,Kinship,2,0,1648967400.0,True
Limitless,UYU,2,1,1648789200.0,True
UYU,Infinity,2,1,1648189800.0,True
Evil Geniuses,UYU,16,11,1647223500.0,False
Verum,UYU,2,0,1625637600.0,True
Villainous,UYU,2,1,1625378400.0,True
PDHM,UYU,2,0,1617172200.0,True
UYU,X13,2,1,1616999400.0,True
CLG Red,Slay,2,0,1651383000.0,True
CLG Red,Please Send Help,2,0,1650849600.0,True
CLG Red,Please Send Help,2,0,1649638800.0,True
CLG Red,Little Bocks,2,0,1646020800.0,True
CLG Red,Little Bocks,2,0,1643590800.0,True
CLG Red,Little Bocks,2,0,1642381800.0,True
Touch Point,CLG Red,2,0,1631329200.0,True
CLG Red,Dignitas fe,2,0,1608514500.0,True
CLG Red,Violent Roses,2,0,1608254100.0,True
CLG Red,Cyberstorm Blue,1,0,1608166800.0,True
CLG Red,Dignitas fe,2,1,1595818800.0,True
CLG Red,Dignitas fe,2,0,1595732400.0,True
CLG Red,That's what she said,2,0,1595655000.0,True
CLG Red,Besiktas,2,1,1576337400.0,True
CLG Red,Besiktas,2,1,1576248000.0,True
CLG Red,Sway,2,0,1576155600.0,True
Philadelphia Liberty,Kinship,2,0,1648617300.0,True
Kinship,Limitless,2,1,1648184400.0,True
Apeks Legends,Kinship,2,0,1646451900.0,True
Apeks Rebels,Kinship,2,0,1646440200.0,True
Kinship,GAS,2,0,1646430600.0,True
Brazen,Kinship,2,0,1639553400.0,True
Valors,Kinship,2,1,1639297800.0,True
Third Impact,Kinship,2,0,1639281600.0,True
Kinship,Touch Point,2,1,1639036800.0,True
Coldest Riders,Kinship,2,0,1625725800.0,True
Kinship,Valkyrie,2,1,1625639400.0,True
Upswing,Kinship,2,1,1625288400.0,True
Kinship,Rise,2,0,1607589000.0,True
Kinship,Vireo.pro,2,0,1607502600.0,True
TeamOne,Valkyrie,16,14,1649142900.0,False
ATK,Valkyrie,16,12,1649132700.0,False
Third Impact,Valkyrie,2,1,1620604800.0,True
timbermen,Davenport University,2,1,1652041800.0,True
Coldest Riders,Davenport University,2,1,1639125000.0,True
MIBR,Davenport University,2,1,1639038600.0,True
YeniCherry,Davenport University,2,1,1631385000.0,True
Davenport University,Eros,2,1,1631330400.0,True
Third Impact,X13,16,10,1650435300.0,False
MIBR,X13,2,0,1648098000.0,True
Gaimin Gladiators,X13,2,0,1647326400.0,True
Strife,X13,2,1,1647309600.0,True
TeamOne,X13,2,0,1645772400.0,True
X13,Eros,2,0,1645686000.0,True
Party Astronauts,X13,2,0,1644390000.0,True
RBG,X13,16,13,1642905000.0,False
ATK,X13,16,7,1642900200.0,False
Valors,X13,2,1,1639902600.0,True
X13,Third Impact,2,0,1639810800.0,True
X13,voLante,2,1,1639724400.0,True
Detonate,X13,2,0,1639643400.0,True
MIBR,X13,3,0,1639551600.0,False
X13,Third Impact,2,0,1639465200.0,True
timbermen,Eros,2,0,1652056200.0,True
LGG Snakes Den,Eros,2,1,1651981200.0,True
Gaimin Gladiators,Eros,2,0,1647925200.0,True
TeamOne,Eros,2,0,1647579600.0,True
Eros,Strife,2,1,1647406800.0,True
MIBR,Eros,2,0,1646809200.0,True
Eros,Disconnected,2,1,1645599600.0,True
Party Astronauts,Eros,2,1,1644994800.0,True
Party Astronauts,Eros,16,8,1645944300.0,False
Third Impact,Eros,2,1,1645336500.0,True
Eros,REIGN,16,9,1645330800.0,False
Third Impact,Eros,16,10,1645326300.0,False
Villainous,Eros,2,0,1642907400.0,True
ATK,Earlybirds,16,9,1650434400.0,False
Third Impact,Rectify,2,0,1649650500.0,True
Triumph,Rectify,2,1,1625630400.0,True
TeamOne,Counter Nature,16,6,1650432900.0,False
Strife,Counter Nature,16,9,1649127000.0,False
paiN,Counter Nature,16,2,1649111400.0,False
GGPR,Counter Nature,2,0,1624154400.0,True
X13,Counter Nature,2,1,1624068000.0,True
Counter Nature,Third Impact,2,0,1623996000.0,True
Counter Nature,HeadShotKings,2,1,1623650400.0,True
X13,Counter Nature,2,0,1623477600.0,True
Third Impact,Counter Nature,2,0,1620000000.0,True
Rise,Counter Nature,2,0,1605256200.0,True
Yeah,Counter Nature,2,0,1605081600.0,True
Happy Mouse,Take Flyte,16,11,1651985100.0,False
paiN,ONET4P,16,7,1650436500.0,False
ONET4P,ATK,2,0,1648011600.0,True
ONET4P,Third Impact,2,0,1647579600.0,True
Orgless,ONET4P,2,1,1647406800.0,True
paiN,ONET4P,2,0,1646895600.0,True
Bad News Bears,ONET4P,2,0,1646204400.0,True
ONET4P,Carpe Diem,2,1,1646118000.0,True
ONET4P,Valors,2,1,1643785200.0,True
Strife,ONET4P,16,4,1645329600.0,False
ATK,ONET4P,16,8,1645326300.0,False
Bad News Bears,ONET4P,2,1,1644807600.0,True
ONET4P,Vireo.pro,16,13,1644728400.0,False
RBG,ONET4P,16,9,1643521500.0,False
RBG,ONET4P,2,0,1642388400.0,True
ONET4P,Big Chillin,16,4,1642315200.0,False
Please Send Help,Little Bocks,2,1,1651469400.0,True
Little Bocks,Please Send Help,2,1,1644800400.0,True
Imperial,Omega,16,3,1650337200.0,False
Complexity,Omega,16,1,1647054300.0,False
Prison Break,Omega,2,0,1646533200.0,True
Gaimin Gladiators,Omega,2,0,1646517300.0,True
Omega,Underground Kings,2,1,1646445300.0,True
Omega,Stealth,2,1,1646430600.0,True
Fragging for Jason,Omega,2,1,1642973400.0,True
Valors,Omega,2,0,1639123200.0,True
X13,Omega,2,1,1639035000.0,True
Philadelphia Liberty,Magic School Bus,2,0,1648189800.0,True
Snakes Den,Philadelphia Liberty,16,14,1647223200.0,False
Meta BR,River Plate,16,10,1651814400.0,False
UNO MILLE,River Plate,16,3,1650513000.0,False
River Plate,Furious,2,1,1650150900.0,True
River Plate,WINDINGO,2,1,1650069000.0,True
Leviatan,River Plate,19,16,1647058500.0,False
River Plate,ELES,16,12,1646976900.0,False
Leviatan,River Plate,16,12,1646961900.0,False
Boca Juniors,River Plate,2,0,1645151100.0,True
River Plate,Keyd,2,1,1639357200.0,True
River Plate,Imperial,2,0,1639105200.0,True
River Plate,Leviatan,2,0,1638508500.0,True
River Plate,Stone,2,0,1638497700.0,True
Isurus,River Plate,2,0,1639270800.0,True
Imperial,River Plate,2,0,1638334800.0,True
paiN,River Plate,2,1,1637045700.0,True
Leviatan,River Plate,2,0,1637021400.0,True
UNO MILLE,WINDINGO,16,12,1651893600.0,False
WINDINGO,Meta BR,16,13,1651888800.0,False
WINDINGO,SWS,16,13,1651814400.0,False
SWS,Furious,2,0,1651371600.0,True
ex-Black Dragons,Furious,16,7,1650513000.0,False
Furious,PisoDeMadera,2,1,1650135600.0,True
Leviatan,Furious,2,0,1639184400.0,True
paiN,Furious,2,0,1637356200.0,True
Furious,Mad Kings,2,0,1637304900.0,True
OFFSET,Furious,2,0,1637280600.0,True
Leviatan,Furious,2,1,1635646200.0,True
Furious,9z Academy,16,8,1634436600.0,False
River Plate,Furious,19,17,1633841100.0,False
Furious,Santos,16,11,1633231200.0,False
Furious,Boca Juniors,19,16,1632970800.0,False
MAXIMA,Furious,16,7,1631415600.0,False
Leviatan,Furious,16,6,1631246700.0,False
9z,Furious,2,0,1630980600.0,True
Los Grandes,Boca Juniors,16,3,1651814700.0,False
Case,Boca Juniors,2,0,1648090800.0,True
MIBR,Boca Juniors,2,1,1646619300.0,True
Boca Juniors,AWADEUWU,16,6,1646614800.0,False
Sharks,Boca Juniors,16,2,1646442000.0,False
Boca Juniors,9z Academy,2,1,1645243200.0,True
9z,Boca Juniors,2,0,1639372800.0,True
Boca Juniors,Keyd,2,1,1639263600.0,True
Boca Juniors,Imperial,2,1,1638673200.0,True
Leviatan,Boca Juniors,16,10,1638423900.0,False
9z,Boca Juniors,2,0,1637368200.0,True
Boca Juniors,Infinity,2,0,1637128800.0,True
Isurus,Boca Juniors,2,0,1637107800.0,True
Coscu Army,Boca Juniors,2,1,1636678800.0,True
River Plate,Boca Juniors,2,0,1635742800.0,True
paiN,FURIA,2,0,1651457100.0,True
