name,hltv,winstreak,win%last3months,worldranking,weekstop30,averageplayerage
Liquid,222,3,61.5,13,136,25.8
Complexity,86,0,52.2,24,25,21.7
Evil Geniuses,40,0,40.0,40,32,24.9
Party Astronauts,40,4,59.5,41,5,25.5
Carpe Diem,28,2,61.1,52,0,20.2
Gaimin Gladiators,27,0,62.1,56,0,21.9
Bad News Bears,13,0,40.7,86,0,23.3
BHOP,13,0,45.5,91,0,23.1
Unjustified,12,0,50.0,93,0,21.3
Mythic,11,0,55.6,100,0
Imperial,62,2,70.4,32,99,28.4
UYU,8,0,45.5,119,0
CLG Red,4,6,100.0,174,0,23.3
Kinship,3,0,28.6,178,0,22.0
Valkyrie,3,0,0.0,194,0
Davenport University,2,0,0.0,204,0
X13,2,0,14.3,206,0,20.2
Eros,2,0,20.0,209,0,22.4
Earlybirds,2,0,0.0,210,0,21.1
Rectify,2,0,0.0,220,0
Counter Nature,2,0,0.0,221,0,24.7
Take Flyte,2,0,0.0,222,0,21.5
ONET4P,1,0,33.3,224,0,22.3
Please Send Help,1,1,25.0,228,0,24.7
Omega,1,0,33.3,241,0,22.2
Slay,0,0,0.0,256,0,23.4
Philadelphia Liberty,0,0,37.5,257,0
River Plate,6,0,37.5,137,0,24.5
WINDINGO,5,0,50.0,149,0,24.5
Furious,3,0,25.0,177,0,23.5
Boca Juniors,1,0,42.9,226,0,22.9
FURIA,403,0,68.4,7,172,23.4
paiN,93,5,69.2,21,21,25.1
MIBR,85,0,73.7,25,8,24.9
GODSENT,83,1,38.1,27,32,22.5
Isurus,27,2,58.3,55,0,24.8
Sao Caetano,27,4,60.0,57,0,26.4
TeamOne,24,2,55.6,60,5,25.7
Case,24,0,61.1,61,0,24.2
ARCTIC,9,2,64.7,109,0,20.7
UNO MILLE,9,0,60.0,112,0,23.8
Stars Horizon,9,0,56.2,113,0,23.5
Meta BR,8,0,50.0,124,0
Cruzeiro,6,0,40.0,138,0,21.9
B4,6,1,50.0,139,0,23.0
MIBR Academy,6,0,72.7,140,0,19.1
Los Grandes,6,0,50.0,146,0
ex-Black Dragons,6,0,44.4,147,0,22.4
The Union,6,0,50.0,148,0
AJF,5,0,40.0,151,0,26.1
FURIA Academy,5,0,44.4,152,0,19.4
SWS,5,1,37.5,156,0,20.4
Sharks,5,0,57.1,158,0
GODSENT Academy,4,2,100.0,169,0,18.5
FURIA fe,3,4,100.0,188,0,23.2
Redragon,3,1,16.7,192,0,25.7
Black Dragons fe,2,1,33.3,219,0,25.5
Los Grandes Academy,1,0,0.0,230,0,19.8
Liberty fe,1,0,25.0,238,0,20.8
MIBR fe,0,0,0.0,252,0,22.4
EC Brugge,9,0,47.6,110,0,25.8
ex-Project Eversio,5,0,33.3,154,0,21.2
Sector One,2,0,0.0,208,0
SINNERS,47,1,56.4,36,36,22.3
ECLOT,16,0,50.0,76,0,23.3
eSuba,10,0,42.9,104,0
Entropiq Prague,3,0,0.0,180,0,21.4
Heroic,475,0,77.8,5,108,23.2
Astralis,351,0,57.7,9,27,25.3
Copenhagen Flames,195,0,71.8,14,40,22.9
ECSTATIC,47,0,43.3,37,30,25.1
MASONIC,36,0,65.0,44,0,22.1
Tricked,27,0,47.4,53,0,22.3
Astralis Talent,20,8,60.0,67,0,20.3
Los Reyes,14,0,55.6,84,0,23.8
Atlantic,11,0,50.0,102,0,20.7
AGF,5,0,20.0,160,0,18.9
Copenhagen Flames fe,2,1,100.0,202,0,22.2
Fjerritslev Gymnasium,2,0,0.0,212,0,19.1
Vitality,277,4,52.9,11,112,24.7
HEET,97,0,67.9,20,37,23.9
Falcons,22,2,53.8,63,0,23.3
Ambush,7,1,42.9,128,0,26.7
LDLC,2,0,50.0,213,0,18.8
Exalty,2,0,33.3,218,0,26.7
BIG,188,0,62.5,15,120,24.2
cowana,14,0,58.3,82,0,25.5
BIG Academy,11,1,53.8,101,0,20.7
ALTERNATE aTTaX,8,0,40.9,123,0,23.4
NLG,7,0,50.0,132,0,24.6
SSP,5,0,33.3,159,0,23.1
Entropy,2,0,0.0,207,0,21.7
777,10,0,37.5,105,0,25.7
00Prospects,10,0,57.1,106,0,22.4
Oilers,6,3,100.0,134,0
Bitfix,5,0,25.0,157,0,20.2
VOID,4,0,50.0,173,0,22.8
FOXED,3,0,50.0,190,0,21.8
